id_produto;id_cliente;id_regiao;nr_pedido;data_compra;quantidade;unit_venda
6811353836;8966642598;E-004;1742;29/07/2020;1;9,99
6811364906;8966642598;E-004;1742;29/07/2020;1;9,99
6811355953;8966642649;E-001;1743;29/07/2020;1;9,99
6811364548;8966642649;E-001;1743;29/07/2020;1;11,2
6811365429;8966642649;E-001;1743;29/07/2020;1;9,99
6811364861;8966642649;E-001;1743;29/07/2020;1;9,99
6811354136;8966642649;E-001;1743;29/07/2020;1;9,99
6811364550;8966642649;E-001;1743;29/07/2020;1;9,99
6811354102;8966642649;E-001;1743;29/07/2020;1;9,99
6811356971;8966642695;E-002;1744;29/07/2020;1;9,99
6811356986;8966642695;E-002;1744;29/07/2020;1;9,99
6811353597;8966642695;E-002;1744;29/07/2020;1;9,99
6811355955;8981008781;E-002;1755;29/07/2020;1;9,99
6811355953;8981008781;E-002;1755;29/07/2020;1;9,99
6811359347;8981008781;E-002;1755;29/07/2020;1;9,99
6811354639;8981008781;E-002;1755;29/07/2020;1;9,99
6811358760;8981008781;E-002;1755;29/07/2020;1;9,99
6811356803;8981008781;E-002;1755;29/07/2020;1;23,5
6811357939;8981008781;E-002;1755;29/07/2020;1;9,99
6811358606;8981008781;E-002;1755;29/07/2020;1;9,99
6811359378;8981008781;E-002;1755;29/07/2020;1;9,99
6811357703;9019667861;E-005;1803;29/07/2020;1;9,99
6811364906;9019667861;E-005;1803;29/07/2020;1;9,99
6811355916;9019667861;E-005;1803;29/07/2020;1;9,99
6811365800;9019667861;E-005;1803;29/07/2020;1;9,99
6811364915;7446161386;E-004;1745;30/07/2020;1;9,99
6811364871;7446161386;E-004;1745;30/07/2020;1;9,99
6811364915;7446161386;E-004;1745;30/07/2020;1;9,99
6811360065;7446161386;E-004;1745;30/07/2020;1;9,99
6811362736;7446161386;E-004;1745;30/07/2020;1;9,99
6811364955;8567327042;E-005;1746;30/07/2020;1;9,99
6811364886;8567327042;E-005;1746;30/07/2020;1;9,99
6811364894;8567327042;E-005;1746;30/07/2020;1;9,99
6811364906;8567327042;E-005;1746;30/07/2020;1;9,99
6811364924;8567327042;E-005;1746;30/07/2020;1;9,99
6811364897;8567327042;E-005;1746;30/07/2020;1;9,99
6811356705;8567327042;E-005;1746;30/07/2020;1;9,99
6811363747;8567327042;E-005;1746;30/07/2020;1;9,99
6811361287;8567327042;E-005;1746;30/07/2020;1;9,99
6811361315;8567327042;E-005;1746;30/07/2020;1;9,99
6811364934;8567327042;E-005;1746;30/07/2020;1;9,99
6811354008;8567327042;E-005;1746;30/07/2020;1;9,99
6811359546;8567327042;E-005;1746;30/07/2020;1;9,99
6811356865;8567327042;E-005;1746;30/07/2020;1;9,99
6811360459;8567327042;E-005;1746;30/07/2020;1;9,99
6811357630;8567327042;E-005;1746;30/07/2020;1;9,99
6811358700;8567327042;E-005;1746;30/07/2020;1;9,99
8149224696;8567327042;E-005;1746;30/07/2020;1;9,99
6811357813;8567327042;E-005;1746;30/07/2020;1;9,99
6811358794;8567327042;E-005;1746;30/07/2020;1;9,99
7918633963;8790640270;E-007;1748;30/07/2020;10;10
6811365434;7340295331;E-011;1749;30/07/2020;1;9,99
6811360057;7340295331;E-011;1749;30/07/2020;2;9,99
6811360057;7340295331;E-011;1749;30/07/2020;2;9,99
6811356705;7340295331;E-011;1749;30/07/2020;1;9,99
6811355980;7340295331;E-011;1749;30/07/2020;1;9,99
8734264673;8975967481;E-004;1752;30/07/2020;1;17,49
6811365671;8981008827;E-001;1756;30/07/2020;1;9,99
6811357943;8981008827;E-001;1756;30/07/2020;1;9,99
6811361315;8981008827;E-001;1756;30/07/2020;1;9,99
6811365429;7340295331;E-011;1757;30/07/2020;1;9,99
6811365429;7340295331;E-011;1757;30/07/2020;1;9,99
6811364924;7340295331;E-011;1757;30/07/2020;1;9,99
6811364924;7340295331;E-011;1757;30/07/2020;1;9,99
6811364924;7340295331;E-011;1757;30/07/2020;1;9,99
6811357803;7340295331;E-011;1757;30/07/2020;1;9,99
6811360128;7340295331;E-011;1757;30/07/2020;1;9,99
6811359406;7340295331;E-011;1758;30/07/2020;1;9,99
6811357813;7340295331;E-011;1758;30/07/2020;1;9,99
6811363747;7340295331;E-011;1758;30/07/2020;1;9,99
6811357882;7340295331;E-011;1758;30/07/2020;1;9,99
6811362253;7340295331;E-011;1758;30/07/2020;1;9,99
6811358781;7340295331;E-011;1758;30/07/2020;1;9,99
6811362381;8981008913;E-004;1759;30/07/2020;1;9,99
6811358453;8981008913;E-004;1759;30/07/2020;1;9,99
6811356166;8981008913;E-004;1759;30/07/2020;1;9,99
6811358520;8981008935;E-005;1760;30/07/2020;1;9,99
6811358332;8981008935;E-005;1760;30/07/2020;1;9,99
6811358332;8981008935;E-005;1760;30/07/2020;1;9,99
6811361044;8981008935;E-005;1760;30/07/2020;1;9,99
6811356778;8981008935;E-005;1760;30/07/2020;1;9,99
6811365429;8981008935;E-005;1760;30/07/2020;2;9,99
6811364894;8981008935;E-005;1760;30/07/2020;2;9,99
6811364881;8981008935;E-005;1760;30/07/2020;1;9,99
6811356865;8981008935;E-005;1760;30/07/2020;2;9,99
6811356773;8981008935;E-005;1760;30/07/2020;1;9,99
6811364969;8981008935;E-005;1760;30/07/2020;1;9,99
6811358363;8981008935;E-005;1760;30/07/2020;2;9,99
6811357813;8981008998;E-004;1761;30/07/2020;1;9,99
6811362253;8981008998;E-004;1761;30/07/2020;2;9,99
